Antigo Testamento — 46 títulos
|  # | Geʿez                                       | Português ocidental                                                  |
| -: | ------------------------------------------- | -------------------------------------------------------------------- |
|  1 | **ኦሪት ዘልደት**                                | Gênesis                                                              |
|  2 | **ኦሪት ዘፀአት**                                | Êxodo                                                                |
|  3 | **ኦሪት ዘሌዋውያን**                              | Levítico                                                             |
|  4 | **ኦሪት ዘኍልቍ**                                | Números                                                              |
|  5 | **ኦሪት ዘዳግም**                                | Deuteronômio                                                         |
|  6 | **ኦሪት ዘኢየሱስ**                               | Josué                                                                |
|  7 | **ኦሪት ዘመሳፍንት**                              | Juízes                                                               |
|  8 | **ኦሪት ዘሩት**                                 | Rute                                                                 |
|  9 | **መጽሐፈ ነገሥት ቀዳማዊ** + **ዳግማዊ**               | 1–2 Samuel                                                           |
| 10 | **መጽሐፈ ነገሥት ሣልሳዊ** + **ራብዓዊ**               | 1–2 Reis                                                             |
| 11 | **መጽሐፈ ሕጹጻነ ነገሥት ቀዳማዊ**                     | 1 Crônicas                                                           |
| 12 | **መጽሐፈ ሕጹጻነ ነገሥት ካልእ**                      | 2 Crônicas                                                           |
| 13 | **መጽሐፈ ኩፋሌ**                                | Jubileus                                                             |
| 14 | **መጽሐፈ ሄኖክ**                                | 1 Enoque                                                             |
| 15 | **ዘዕዝራ ሠለስቱ**                               | Esdras + Neemias                                                     |
| 16 | **መጽሐፈ ዘዕዝራ ክልኤቱ** + **መጽሐፈ ዕዝራ ሱቱኤል**      | 3 Esdras / Esdras grego + 4 Esdras / Esdras Sutuel                   |
| 17 | **መጽሐፈ ዘጦቢት**                               | Tobias                                                               |
| 18 | **መጽሐፈ ዘዮዲት**                               | Judite                                                               |
| 19 | **መጽሐፈ ዘአስቴር**                              | Ester                                                                |
| 20 | **መጽሐፈ ዘመቃብያን አሐዱ**                         | 1 Macabeus etíope / 1 Meqabyan                                       |
| 21 | **መጽሐፈ ዘመቃብያን ክልኤቱ** + **መጽሐፈ ዘመቃብያን ሠለስቱ** | 2 e 3 Macabeus etíopes / 2 e 3 Meqabyan                              |
| 22 | **መጽሐፈ ዘኢዮብ**                               | Jó                                                                   |
| 23 | **መዝሙራት ዘዳዊት**                              | Salmos                                                               |
| 24 | **መጽሐፈ ምሳሌ**                                | Provérbios                                                           |
| 25 | **መጽሐፈ ተግሣጽ** (*Tägsas/Tegsats*)            | Repreensões / Provérbios 25–31                                       |
| 26 | **መጽሐፈ ጥበበ ሰሎሞን**                           | Sabedoria de Salomão                                                 |
| 27 | **መጽሐፈ መክብብ**                               | Eclesiastes                                                          |
| 28 | **መጽሐፈ መሓልየ መሓልይ**                          | Cântico dos Cânticos                                                 |
| 29 | **ትንቢተ ዘኢሳይያስ ነቢይ**                         | Isaías                                                               |
| 30 | **ዘኤርምያስ**                                  | Jeremias — incluindo Lamentações, Baruc, Carta de Jeremias e 4 Baruc |
